real_region	n_bins	rand_start	rand_end	p_spatial	p_directional	p_combined
Trbv1	125	40817800	40842800	0.762293	0.539682	0.776797
Trbv1	125	40897400	40922400	0.415919	0.211893	0.302194
Trbv1	125	40849000	40874000	0.415919	0.788107	0.6934
Trbv1	125	41517200	41542200	1	1	1
Trbv1	125	41570400	41595400	0.168509	0.559397	0.316882
Trbv1	125	40924000	40949000	0.0530513	0.744543	0.167139
Trbv1	125	41443200	41468200	0.168509	0.440603	0.267312
Trbv1	125	40946800	40971800	0.415919	0.788107	0.6934
Trbv1	125	41111200	41136200	1	1	1
Trbv1	125	41314400	41339400	0.168509	0.559397	0.316882
Trbv1	125	41419800	41444800	0.415919	0.788107	0.6934
Trbv1	125	41555200	41580200	0.168509	0.157186	0.122665
Trbv1	125	40829000	40854000	0.762293	0.539682	0.776797
Trbv1	125	40961800	40986800	1	1	1
Trbv1	125	41035400	41060400	0.762293	0.539682	0.776797
Trbv1	125	41061400	41086400	0.762293	0.539682	0.776797
Trbv1	125	41663200	41688200	0.762293	0.539682	0.776797
Trbv1	125	41470200	41495200	1	1	1
Trbv1	125	41070200	41095200	0.762293	0.539682	0.776797
Trbv1	125	41640200	41665200	1	1	1
Trbv1	125	41226800	41251800	0.168509	0.440603	0.267312
Trbv1	125	41228000	41253000	0.168509	0.440603	0.267312
Trbv1	125	41169400	41194400	1	1	1
Trbv1	125	40915800	40940800	0.168509	0.440603	0.267312
Trbv1	125	41607400	41632400	1	1	1
Trbv1	125	40802000	40827000	0.762293	0.539682	0.776797
Trbv1	125	40942400	40967400	0.0530513	0.374252	0.0976709
Trbv1	125	40990800	41015800	0.762293	0.539682	0.776797
Trbv1	125	41034200	41059200	0.762293	0.539682	0.776797
Trbv1	125	40905200	40930200	0.168509	0.440603	0.267312
Trbv1	125	40805600	40830600	0.762293	0.539682	0.776797
Trbv1	125	40896600	40921600	0.415919	0.211893	0.302194
Trbv1	125	41049400	41074400	1	1	1
Trbv1	125	41233000	41258000	0.415919	0.788107	0.6934
Trbv1	125	41601400	41626400	1	1	1
