readout	region	pairing	metric	value	p
attribution	CH/JH/iEmu (constant region)	DN_rep2_vs_S3T3_rep2	H3K27ac	0.332122	
attribution	DH cluster (diversity segments)	DN_rep1_vs_S3T3_rep1	ATAC	0.081079	
attribution	DH cluster (diversity segments)	DN_rep1_vs_S3T3_rep1	RNA+	0	
attribution	DH cluster (diversity segments)	DN_rep1_vs_S3T3_rep1	RNA-	0.000232877	
attribution	DH cluster (diversity segments)	DN_rep1_vs_S3T3_rep1	CTCF	0.312049	
attribution	DH cluster (diversity segments)	DN_rep1_vs_S3T3_rep1	Cohesin	0.455073	
attribution	DH cluster (diversity segments)	DN_rep1_vs_S3T3_rep1	H3K27ac	0.151567	
attribution	DH cluster (diversity segments)	DN_rep1_vs_S3T3_rep2	ATAC	0.0147061	
attribution	DH cluster (diversity segments)	DN_rep1_vs_S3T3_rep2	RNA+	0	
attribution	DH cluster (diversity segments)	DN_rep1_vs_S3T3_rep2	RNA-	8.80948e-05	
attribution	DH cluster (diversity segments)	DN_rep1_vs_S3T3_rep2	CTCF	0.347683	
attribution	DH cluster (diversity segments)	DN_rep1_vs_S3T3_rep2	Cohesin	0.465506	
attribution	DH cluster (diversity segments)	DN_rep1_vs_S3T3_rep2	H3K27ac	0.172017	
attribution	DH cluster (diversity segments)	DN_rep2_vs_S3T3_rep1	ATAC	0.0830434	
attribution	DH cluster (diversity segments)	DN_rep2_vs_S3T3_rep1	RNA+	0	
attribution	DH cluster (diversity segments)	DN_rep2_vs_S3T3_rep1	RNA-	0.000143604	
attribution	DH cluster (diversity segments)	DN_rep2_vs_S3T3_rep1	CTCF	0.349557	
attribution	DH cluster (diversity segments)	DN_rep2_vs_S3T3_rep1	Cohesin	0.406085	
